epoch,step,train/loss,train/reward,val/reward
0,49,0.5523098111152649,-7.773333549499512,
0,99,0.5263877511024475,-7.480000019073486,
0,149,0.20943476259708405,-7.393333435058594,
0,199,-1.543531060218811,-8.420000076293945,
0,249,0.2829906642436981,-6.733333587646484,
0,299,0.5610308647155762,-7.700000286102295,
0,333,,,-7.451925277709961
1,349,-0.9833229780197144,-7.613333702087402,
1,399,0.011308008804917336,-8.513333320617676,
1,449,-0.193862646818161,-7.546666622161865,
1,499,-0.5160514712333679,-7.7266669273376465,
1,549,-1.6078935861587524,-8.220000267028809,
1,599,-0.12083074450492859,-7.340000152587891,
1,649,0.3668547570705414,-7.0,
1,667,,,-7.548399448394775
2,699,-0.6514165997505188,-8.360000610351562,
2,749,0.3077613115310669,-7.146667003631592,
2,799,-1.0530344247817993,-7.340000152587891,
2,849,-0.8159505128860474,-7.833333492279053,
2,899,0.11624845117330551,-7.946666717529297,
2,949,-0.8693931102752686,-7.813333511352539,
2,999,2.7745940685272217,-7.473333358764648,
2,1001,,,-7.59012508392334
